表格,FCA编号,中文名称,CAS号,使用范围和最大使用量/%,SML/QM/(mg/kg),SML(T)/(mg/kg),SML(T),分组编号,其他要求
A1,FCA0160,"2,4-双 [(十二烷基硫代 )甲基 ]-6-甲基苯酚",110675-26-8,PS:0.2,5,24,,,
A1,FCA0161,"2,5-二甲基 -2,5-双 (过氧叔丁基 )己烷",78-63-7,"PP,PE:按生产需要适量使用",100(叔丁醇 :QM),,,,
A1,FCA0162,"2,5-二氢 -3,6-二 (十八烷基硫代苯基 )吡咯并 [3,4-c]吡咯 -1,4-二酮",247089-62-9,"PE,PP,PS,ABS,AS,PA,PET,PC,PVC:0.015",应符合着色剂纯度要求,",见注",,,
A1,FCA0163,"2,5-呋喃二酮与 1-丙烯的聚合物",25722-45-6,"PC,PBT,ABS,PEI,PPE:按生产需要适量使用",30,3,聚合物中,,"2,5-呋喃二酮的结合量不超过 0.8%,特性黏度不低于 0.9dL/g(135℃,浓度为 0.1%,溶剂为十氢化萘 )"
A1,FCA0165,"2,6-二 (1,1-二甲基乙基 )-4-乙基酚",4130-42-1,EVA:按生产需要适量使用,";PE,PP:0.1",4.8(SML),,,
A1,FCA0166,"2,6-二甲基苯酚",576-26-1,"PE,PP,PS:0.5",0.05(SML),,,,
A1,FCA0169,"2-[(1,3-二氢 -1,3-二氧代 -2H-异吲哚基 )甲基 ]-5,12-二氢喹啉并 [2,3-b]吖啶 -7,14-二酮",75641-02-0,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC,UP:0.05",应符合着色剂纯度要求,",见注",,,
A1,FCA0170,"2-[[2,4,8,10-四 (1,1-二甲基乙基 )二苯并 [d,f][1,3,2]二磷环庚烷 -6-基 ]氧 ]-N ,N-双 [2-[2,4,8,10-四 -(1,1-二甲基乙基 )二苯并 [d,f][1,3,2]二磷环庚烷 -6-基 ]氧乙基 ]-乙胺",80410-33-9,"PE,PP:0.3","5(以亚磷酸盐和磷酸盐之和计 ,SML)",,,,
A1,FCA0171,"2-[[4-(二乙氨基 )-2-甲苯基 ]偶氮 ]-5-甲苯 -1,3-二腈",75198-96-8,PET:0.2,应符合着色剂纯度要求,",见注",,,
A1,FCA0173,"2-[2-羟基 -3,5-二 (1,1-二甲基丙基苯基 )]-2H-苯并三唑",25973-55-1,"PE,PP:0.5",,,,,
A1,FCA0174,"2-[3-[3,5-双叔丁基 -4-羟基苯基 ]-丙酰基 ]肼 -3,5-双叔丁基 -4-羟基苯丙酸",32687-78-8,"PE,PP:0.2;AS,ABS,PS:0.1",15(SML),,,,
A1,FCA0175,"2-[4,6-双 (2,4-二甲基苯基 )-1,3,5-三嗪 -2-基 ]-5-(辛氧基 )苯酚",2725-22-6,PE:0.3;PP:0.1,0.05(SML),生产的材料或制品仅用于接触水性食品,,,
A1,FCA0176,"2-(2H-苯并三唑 -2-基 )-4-(1,1,3,3-四甲丁基 )苯酚",3147-75-9,PP:0.3;PC:0.5,,,,,
A1,FCA0178,2-氨基苯甲酰胺,88-68-6,PET:按生产需要适量使用,0.05(SML),生产的材料或制品仅用于接触水性食品,,,
A1,FCA0180,2-苯基 -1H-吲哚,948-65-2,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET:按生产需要适量使用",15(SML),,,,
A1,FCA0183,"2-丙烯酸 -2-(1,1-二甲基乙基 )-6-[[3-(1,1-二甲基乙基 )-2-羟基 -5-甲基苯基 ]甲基 ]-4-甲苯基酯",61167-58-6,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",6(SML),,,,
A1,FCA0184,"2-丙烯酸 -2-[1-[3,5-双 (1,1-二甲基丙基 )-2-羟基苯基 ]乙基 ]-4,6-双 (1,1-二甲基丙基 )苯基酯",123968-25-2,"PE,PP:0.3;PS:1;ABS:0.5",5(SML),,,,
A1,FCA0188,2-丙烯酸 -2-乙基己基酯与甲基丙烯酸甲酯和甲基丙烯酸 -2-羟乙基酯的聚合物,40704-95-8,"ABS,AS,PA,PC,PE,PET,PP,PS,PVC,PVDC,UP:按生产需要适量使用",0.05(2-丙烯酸 -2-乙基己基酯 :SML),6,23,,
A1,FCA0189,2-丙烯酸 -2-乙基己酯与苯乙烯的聚合物,25153-46-2,PMMA:0.5,0.05(2-丙烯酸 -2-乙基己酯 :SML),,,,
A1,FCA0191,2-丙烯酸的均聚物,9003-01-4,"PA,PC,PET:按生产需要适量使用",6,22,,,
A1,FCA0192,2-丙烯酸丁酯的均聚物,9003-49-0,"PA,PC,PET:按生产需要适量使用",6,22,,,
A1,FCA0195,2-丙烯酸丁酯与 2-甲基 -2-丙烯酸甲酯和 2-甲基 -2-丙烯酸 -2-羟乙酯的聚合物,25951-39-7,"PA,PC,PET:按生产需要适量使用",6(以丙烯酸计 );6(以甲基丙烯酸计 ),22;23,,,
A1,FCA0198,2-丙烯酸丁酯与乙酸乙烯基酯的聚合物,25067-01-0,"ABS,AS,PA,PC,PE,PET,PP,PS,PVC,PVDC,UP:按生产需要适量使用","12(SML,乙酸乙烯酯 )",6,22,,
A1,FCA0200,2-丙烯酸甲酯与 C16~C18烷基 -1-十二烷硫醇酯的调聚物,174254-23-0,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用","0.5%(QM,质量分数 )",6,22,,
A1,FCA0206,"2-丙烯酸与 2,5-呋喃二酮聚合物的钠盐",52255-49-9,按生产需要适量使用  30(以马来酸计 );6(以丙烯酸计 ) 3;22,,,,,
A1,FCA0221,2-丙烯酸与乙烯基苯和 (1-甲基乙烯基 )苯的聚合物,52831-04-6,"PA,PC,PET:按生产需要适量使用",6,22,,,
A1,FCA0223,2-丙烯酰氨基 -2-甲基丙烷磺酸,15214-89-8,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",0.05(SML),,,,
A1,FCA0234,"2-甲基 -2-丙烯酸 -2-丙烯基酯与丙烯腈、甲基丙烯酸、甲基丙烯酸甲酯和苯乙烯的共聚物  — PA,PC,PET:按生产需要适量使用  0.05(2-甲基 -2-丙烯酸 -2-丙烯基酯 :SML);ND(丙烯腈 :SML,DL=0.01mg/kg) 6 23",,,,,,,
A1,FCA0235,"2-甲基 -2-丙烯酸 -2-丙烯基酯与丙烯酸丁酯、甲基丙烯酸和苯乙烯的共聚物  — PA,PC,PET:按生产需要适量使用  0.05(2-甲基 -2-丙烯酸 -2-丙烯基酯 :SML) 6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23",,,,,,,
A1,FCA0238,2-甲基 -2-丙烯酸丁酯与 2-丙烯酸丁酯和 2-甲基 -2-丙烯酸甲酯的聚合物,25322-99-0,"ABS,AS,PA,PC,PE,PET,PP,PS,PVC,PVDC,UP:按生产需要适量使用",6(以丙烯酸计 );6(以甲基丙烯酸计 ),22;23,,,
